Tahun,TPT Jabar,TPAK Jabar,Jumlah Angkatan Kerja Jabar,Pendaftaran Pencari Kerja Jabar,Lowongan Kerja Terdaftar Jabar,Pemenuhan Tenaga Kerja Jabar,Laju Pertumbuhan Ekonomi Indonesia,Laju Pertumbuhan PDRB Jabar,Laju Pertumbuhan Penduduk Jabar,Laju Inflasi Indonesia,Laju Inflasi Bandung,APM Indonesia,IPM Jabar
1986,10.35,52,10777,113425,14235,9938,,6.9,2.57,8.83,10.19,,
1987,3.74,51.8,12176912,170318,41504,35262,,5.44,2.57,8.9,8.63,,
1988,4.24,52.4,13034940,169643,50830,36029,,9.11,2.57,5.47,4.5,,
1989,4.09,51.1,12628900,226599,57720,49541,,8.74,2.57,5.97,5.07,,
1990,3.23,51.6,13152203,228231,66519,45556,,8.95,2.24,9.53,9.67,,
1991,3.91,51.2,13790183,267028,70364,68257,,7.56,2.24,9.52,9.29,,
1992,3.62,51.9,14427818,,,,,7.67,2.24,4.94,4.51,,
1993,3.82,50.7,14438033,267374,95386,94671,,,2.24,9.77,9.76,,
1994,5.87,51.9,,,,,,7.04,2.24,9.24,9.33,7.92,
1996,6.71,52.5,16302409,226211,120574,111200,,8.34,2.24,6.47,6.54,7.68,68.2
1997,6.42,59.2,16380010,324645,130744,114997,,5.06,2.24,11.05,9.95,7.68,
1998,7.69,60.4,16925969,243228,118611,100685,,-18.74,2.24,77.63,72.59,8.04,
1999,9.83,61.91,17945410,,,,3.66,-11.21,2.24,2.01,4.29,8.23,64.6
2000,8.99,68.54,,283081,71030,55664,4.9,4.75,2.24,9.4,8.52,7.95,
2001,11.77,69.2,,25373,7790,4484,3.6,5.71,1.9,12.6,11.61,7.99,
2002,13.19,63.33,16609270,31025,4844,2689,4.5,4.22,1.9,10,11.97,8.09,65.8
2003,12.49,60.36,16082417,7024,1054,3134,4.8,5.13,1.9,5.1,5.69,8.55,
2004,13.69,62.45,16827330,,,,5,5.48,1.9,6.4,7.56,8.57,69.1
2005,15.13,62.88,17157083,50115,23927,15057,5.7,6.23,1.9,17.1,19.58,8.71,69.93
2006,14.545,61.62,17559103,159148,27430,65179,5.5,6.31,1.9,6.6,5.33,8.87,70.32
2007,13.795,61.615,18240036,23443,20069,10137,6.3,6.86,1.9,6.6,5.25,9.64,70.71
2008,12.18,62.49,18743979,311901,267372,233316,6,6.36,1.9,11.1,10.23,10.07,71.12
2009,11.405,63.225,18981260,,,,4.6,4.1,1.9,2.8,2.11,10.3,71.64
2010,10.45,62.74,18893835,,,,6.2,6.41,1.9,7,4.53,11.01,66.15
2011,9.985,63.825,19356624,31772,18381,15259,6.2,6.79,1.11,3.8,2.75,12.56,66.67
2012,9.46,63.95,20150094,,,,6,6.5,1.11,4.3,4.02,13.48,67.32
2013,9.02,63.39,20284633,183096,93778,73060,5.6,6.33,1.11,8.4,7.97,18.08,68.25
2014,8.555,63.565,21006139,176220,123515,110302,5,5.09,1.11,8.4,7.76,20.18,68.8
2015,8.56,63.21,20586356,190242,127131,130994,4.9,5.05,1.11,3.4,3.93,17.34,69.5
2016,8.73,62.54,21075899,190242,132143,128421,5,5.66,1.11,3,2.93,17.91,70.05
2017,8.355,63.97,22391003,77615,32298,13137,5.1,5.33,1.11,3.6,3.46,18.62,70.69
2018,8.225,63.37,22628122,46038,6592,202,5.2,5.65,1.11,3.1,3.76,18.59,71.3
2019,7.91,65.345,23804465,104689,6061,2910,5,5.02,1.11,2.7,2.78,18.85,72.03
2020,9.085,65.21,24207930,1310894,595499,449249,-2.1,-2.52,1.11,1.7,1.75,19.32,72.09
2021,9.37,64.89,24743628,734897,68793,67625,3.7,3.74,1.33,1.9,1.65,19.59,72.45
2022,8.33,66.23,25578174,292753,7624,6979,5.3,5.45,1.33,5.5,7.45,20.84,73.12
