Tahun,TPT Jabar,TPAK Jabar,Jumlah Angkatan Kerja Jabar,Pendaftaran Pencari Kerja Jabar,Lowongan Kerja Terdaftar Jabar,Pemenuhan Tenaga Kerja Jabar,Laju Pertumbuhan Ekonomi Indonesia,Laju Pertumbuhan PDRB Jabar,Laju Pertumbuhan Penduduk Jabar,Laju Inflasi Indonesia,Laju Inflasi Bandung,APM Indonesia,IPM Jabar
1-Jan-86,9.84,51.98,946633.54,117801.38,16332.62,11886,2.08,6.79,2.57,8.84,10.07,5.62,67.18
1-Feb-86,9.33,51.97,1882490.08,122177.77,18430.23,13834,2.09,6.68,2.57,8.84,9.95,5.64,67.18
1-Mar-86,8.82,51.95,2818346.62,126554.15,20527.85,15782,2.1,6.56,2.57,8.85,9.83,5.65,67.18
1-Apr-86,8.32,51.94,3754203.15,130930.54,22625.46,17730,2.11,6.45,2.57,8.85,9.71,5.67,67.17
1-May-86,7.81,51.92,4690059.69,135306.92,24723.08,19678,2.13,6.34,2.57,8.86,9.59,5.68,67.17
1-Jun-86,7.3,51.91,5625916.23,139683.31,26820.69,21626,2.14,6.23,2.57,8.86,9.47,5.7,67.17
1-Jul-86,6.79,51.89,6561772.77,144059.69,28918.31,23574,2.15,6.11,2.57,8.87,9.35,5.72,67.16
1-Aug-86,6.28,51.88,7497629.31,148436.08,31015.92,25522,2.17,6,2.57,8.87,9.23,5.73,67.16
1-Sep-86,5.77,51.86,8433485.85,152812.46,33113.54,27470,2.18,5.89,2.57,8.88,9.11,5.75,67.16
1-Oct-86,5.27,51.85,9369342.38,157188.85,35211.15,29418,2.19,5.78,2.57,8.88,8.99,5.76,67.15
1-Nov-86,4.76,51.83,10305198.92,161565.23,37308.77,31366,2.21,5.66,2.57,8.89,8.87,5.78,67.15
1-Dec-86,4.25,51.82,11241055.46,165941.62,39406.38,33314,2.22,5.55,2.57,8.89,8.75,5.79,67.15
1-Jan-87,3.78,51.85,12242914.15,170266.08,42221.38,35321,2.24,5.72,2.57,8.64,8.31,5.82,67.14
1-Feb-87,3.82,51.89,12308916.31,170214.15,42938.77,35380,2.26,6,2.57,8.37,7.99,5.84,67.14
1-Mar-87,3.86,51.94,12374918.46,170162.23,43656.15,35439,2.27,6.29,2.57,8.11,7.68,5.86,67.13
1-Apr-87,3.89,51.98,12440920.62,170110.31,44373.54,35498,2.28,6.57,2.57,7.84,7.36,5.87,67.13
1-May-87,3.93,52.03,12506922.77,170058.38,45090.92,35557,2.3,6.85,2.57,7.58,7.04,5.89,67.13
1-Jun-87,3.97,52.08,12572924.92,170006.46,45808.31,35616,2.31,7.13,2.57,7.32,6.72,5.9,67.12
1-Jul-87,4.01,52.12,12638927.08,169954.54,46525.69,35675,2.32,7.42,2.57,7.05,6.41,5.92,67.12
1-Aug-87,4.05,52.17,12704929.23,169902.62,47243.08,35734,2.34,7.7,2.57,6.79,6.09,5.93,67.12
1-Sep-87,4.09,52.22,12770931.38,169850.69,47960.46,35793,2.35,7.98,2.57,6.53,5.77,5.95,67.11
1-Oct-87,4.12,52.26,12836933.54,169798.77,48677.85,35852,2.36,8.26,2.57,6.26,5.45,5.96,67.11
1-Nov-87,4.16,52.31,12902935.69,169746.85,49395.23,35911,2.38,8.55,2.57,6,5.14,5.98,67.11
1-Dec-87,4.2,52.35,12968937.85,169694.92,50112.62,35970,2.39,8.83,2.57,5.73,4.82,6,67.1
1-Jan-88,4.23,52.3,13003706.15,174024.23,51360,37068.38,2.41,9.08,2.57,5.51,4.54,6.03,67.1
1-Feb-88,4.22,52.2,12972472.31,178405.46,51890,38107.77,2.43,9.05,2.57,5.55,4.59,6.04,67.1
1-Mar-88,4.21,52.1,12941238.46,182786.69,52420,39147.15,2.44,9.02,2.57,5.59,4.63,6.06,67.09
1-Apr-88,4.19,52,12910004.62,187167.92,52950,40186.54,2.45,9,2.57,5.62,4.68,6.07,67.09
1-May-88,4.18,51.9,12878770.77,191549.15,53480,41225.92,2.47,8.97,2.57,5.66,4.72,6.09,67.09
1-Jun-88,4.17,51.8,12847536.92,195930.38,54010,42265.31,2.48,8.94,2.57,5.7,4.76,6.1,67.08
1-Jul-88,4.16,51.7,12816303.08,200311.62,54540,43304.69,2.49,8.91,2.57,5.74,4.81,6.12,67.08
1-Aug-88,4.15,51.6,12785069.23,204692.85,55070,44344.08,2.51,8.88,2.57,5.78,4.85,6.14,67.08
1-Sep-88,4.14,51.5,12753835.38,209074.08,55600,45383.46,2.52,8.85,2.57,5.82,4.89,6.15,67.07
1-Oct-88,4.12,51.4,12722601.54,213455.31,56130,46422.85,2.53,8.83,2.57,5.85,4.94,6.17,67.07
